user_a,user_b,qualified_common_genre_count,total_common_movies,rating_diff_stddev,avg_abs_rating_diff,common_genres
255,310,17,241,0.7486,0.6784,Action:75; Adventure:61; Animation:13; Children:16; Comedy:89; Crime:36; Drama:113; Fantasy:28; Horror:13; IMAX:5; Musical:7; Mystery:13; Romance:50; Sci-Fi:56; Thriller:55; War:15; Western:4
88,255,17,212,0.6823,0.7995,Action:83; Adventure:70; Animation:14; Children:20; Comedy:78; Crime:32; Drama:82; Fantasy:27; Horror:13; IMAX:6; Musical:11; Mystery:10; Romance:39; Sci-Fi:55; Thriller:46; War:13; Western:5
88,484,17,197,0.6675,0.5812,Action:81; Adventure:51; Animation:9; Children:13; Comedy:133; Crime:39; Drama:44; Fantasy:20; Horror:4; IMAX:5; Musical:5; Mystery:12; Romance:34; Sci-Fi:36; Thriller:48; War:7; Western:6
88,493,17,187,0.7312,0.9278,Action:68; Adventure:60; Animation:8; Children:14; Comedy:71; Crime:36; Drama:70; Fantasy:26; Horror:15; IMAX:4; Musical:7; Mystery:14; Romance:33; Sci-Fi:46; Thriller:54; War:9; Western:5
88,250,17,180,0.7461,0.8806,Action:64; Adventure:59; Animation:11; Children:19; Comedy:85; Crime:31; Drama:56; Fantasy:38; Horror:10; IMAX:3; Musical:11; Mystery:11; Romance:38; Sci-Fi:43; Thriller:44; War:9; Western:4
88,383,17,179,0.6558,0.7598,Action:64; Adventure:64; Animation:14; Children:21; Comedy:84; Crime:22; Drama:50; Fantasy:37; Horror:12; IMAX:7; Musical:10; Mystery:13; Romance:33; Sci-Fi:44; Thriller:39; War:4; Western:3
88,628,17,155,0.6972,0.5323,Action:54; Adventure:46; Animation:11; Children:13; Comedy:56; Crime:29; Drama:64; Fantasy:21; Horror:7; IMAX:3; Musical:6; Mystery:10; Romance:27; Sci-Fi:36; Thriller:38; War:11; Western:5
451,628,17,144,0.6154,0.4931,Action:52; Adventure:49; Animation:13; Children:13; Comedy:55; Crime:25; Documentary:4; Drama:53; Fantasy:23; Horror:7; Musical:5; Mystery:8; Romance:17; Sci-Fi:35; Thriller:32; War:9; Western:3
113,255,17,137,0.6972,0.5401,Action:45; Adventure:42; Animation:8; Children:14; Comedy:64; Crime:15; Drama:60; Fantasy:20; Horror:5; IMAX:4; Musical:5; Mystery:5; Romance:31; Sci-Fi:31; Thriller:25; War:10; Western:5
213,628,17,133,0.7167,0.5977,Action:39; Adventure:41; Animation:11; Children:14; Comedy:49; Crime:24; Drama:56; Fantasy:20; Horror:8; IMAX:3; Musical:5; Mystery:9; Romance:20; Sci-Fi:25; Thriller:32; War:10; Western:4
32,88,17,121,0.71,0.4711,Action:41; Adventure:33; Animation:5; Children:14; Comedy:46; Crime:18; Drama:41; Fantasy:18; Film-Noir:3; Horror:8; Musical:11; Mystery:5; Romance:27; Sci-Fi:18; Thriller:23; War:15; Western:4
213,296,17,112,0.66,0.5848,Action:46; Adventure:40; Animation:11; Children:14; Comedy:34; Crime:23; Drama:42; Fantasy:17; Film-Noir:3; IMAX:3; Musical:9; Mystery:8; Romance:17; Sci-Fi:18; Thriller:35; War:10; Western:3
109,113,16,210,0.7313,1.1524,Action:69; Adventure:52; Animation:7; Children:13; Comedy:112; Crime:36; Drama:80; Fantasy:23; Horror:7; Musical:6; Mystery:14; Romance:49; Sci-Fi:39; Thriller:47; War:15; Western:8
451,568,16,185,0.7337,0.5865,Action:64; Adventure:54; Animation:7; Children:7; Comedy:75; Crime:35; Drama:83; Fantasy:25; Horror:7; Musical:7; Mystery:11; Romance:39; Sci-Fi:26; Thriller:47; War:14; Western:3
164,599,16,182,0.724,0.5687,Action:134; Adventure:59; Animation:4; Children:4; Comedy:38; Crime:50; Drama:60; Fantasy:15; Horror:23; IMAX:23; Mystery:22; Romance:10; Sci-Fi:66; Thriller:92; War:12; Western:3
232,387,16,177,0.7455,0.5508,Action:86; Adventure:63; Animation:23; Children:25; Comedy:73; Crime:29; Drama:47; Fantasy:37; Horror:11; IMAX:17; Musical:10; Mystery:19; Romance:19; Sci-Fi:60; Thriller:56; War:9
88,405,16,175,0.6744,0.54,Action:70; Adventure:55; Animation:8; Children:9; Comedy:39; Crime:43; Drama:82; Fantasy:15; Horror:16; IMAX:11; Musical:3; Mystery:21; Romance:30; Sci-Fi:49; Thriller:65; War:8
451,484,16,175,0.721,0.5857,Action:80; Adventure:52; Animation:15; Children:16; Comedy:113; Crime:39; Drama:37; Fantasy:21; Horror:3; IMAX:6; Mystery:9; Romance:25; Sci-Fi:32; Thriller:47; War:10; Western:4
158,310,16,164,0.7415,0.8506,Action:92; Adventure:50; Animation:8; Children:12; Comedy:29; Crime:52; Drama:74; Fantasy:10; Horror:8; IMAX:10; Mystery:20; Romance:18; Sci-Fi:37; Thriller:73; War:17; Western:4
250,451,16,163,0.7206,0.5644,Action:62; Adventure:67; Animation:14; Children:18; Comedy:76; Crime:30; Drama:41; Fantasy:40; Horror:7; Musical:7; Mystery:13; Romance:24; Sci-Fi:42; Thriller:43; War:4; Western:3
220,296,16,160,0.6699,0.4906,Action:82; Adventure:56; Animation:13; Children:18; Comedy:54; Crime:32; Drama:55; Fantasy:24; IMAX:4; Musical:12; Mystery:9; Romance:29; Sci-Fi:32; Thriller:49; War:13; Western:4
113,560,16,158,0.6395,1.0475,Action:62; Adventure:57; Animation:9; Children:14; Comedy:87; Crime:28; Drama:47; Fantasy:23; Horror:8; Musical:10; Mystery:11; Romance:27; Sci-Fi:36; Thriller:38; War:8; Western:6
88,296,16,158,0.6531,0.8829,Action:87; Adventure:58; Animation:7; Children:10; Comedy:53; Crime:30; Drama:46; Fantasy:19; IMAX:3; Musical:9; Mystery:10; Romance:30; Sci-Fi:37; Thriller:52; War:13; Western:4
228,383,16,150,0.6925,0.81,Action:61; Adventure:62; Animation:14; Children:16; Comedy:54; Crime:18; Drama:39; Fantasy:28; Horror:12; IMAX:6; Musical:5; Mystery:17; Romance:23; Sci-Fi:45; Thriller:44; War:5
88,158,16,146,0.7288,0.5959,Action:84; Adventure:49; Animation:7; Children:10; Comedy:28; Crime:46; Drama:58; Fantasy:12; Horror:7; IMAX:9; Mystery:16; Romance:17; Sci-Fi:37; Thriller:59; War:13; Western:3
88,480,16,145,0.7486,0.8103,Action:32; Adventure:34; Animation:5; Children:8; Comedy:79; Crime:26; Drama:59; Fantasy:16; IMAX:3; Musical:5; Mystery:8; Romance:36; Sci-Fi:23; Thriller:24; War:4; Western:4
213,383,16,144,0.7354,0.5764,Action:51; Adventure:53; Animation:17; Children:25; Comedy:66; Crime:19; Drama:41; Fantasy:32; Horror:9; IMAX:5; Musical:11; Mystery:11; Romance:28; Sci-Fi:31; Thriller:33; War:5
128,383,16,143,0.7353,0.5874,Action:61; Adventure:52; Animation:14; Children:14; Comedy:59; Crime:23; Drama:38; Fantasy:24; Horror:14; IMAX:5; Musical:6; Mystery:16; Romance:23; Sci-Fi:40; Thriller:44; War:4
113,137,16,141,0.6312,0.5355,Action:30; Adventure:33; Animation:12; Children:16; Comedy:87; Crime:26; Drama:66; Fantasy:16; IMAX:3; Musical:3; Mystery:8; Romance:32; Sci-Fi:11; Thriller:20; War:7; Western:4
484,560,16,136,0.6992,0.6618,Action:61; Adventure:49; Animation:12; Children:18; Comedy:91; Crime:23; Drama:27; Fantasy:24; Horror:6; Musical:5; Mystery:9; Romance:22; Sci-Fi:27; Thriller:31; War:7; Western:4
128,137,16,134,0.6915,0.4888,Action:35; Adventure:42; Animation:22; Children:23; Comedy:63; Crime:33; Drama:57; Fantasy:18; Horror:3; IMAX:5; Musical:5; Mystery:13; Romance:18; Sci-Fi:15; Thriller:29; War:8
383,560,16,133,0.6584,0.9925,Action:53; Adventure:60; Animation:13; Children:24; Comedy:61; Crime:12; Drama:26; Fantasy:35; Horror:9; IMAX:4; Musical:10; Mystery:10; Romance:21; Sci-Fi:38; Thriller:31; Western:3
113,405,16,128,0.7205,0.7227,Action:48; Adventure:45; Animation:10; Children:11; Comedy:45; Crime:25; Drama:59; Fantasy:17; Horror:4; IMAX:9; Mystery:15; Romance:27; Sci-Fi:33; Thriller:37; War:6; Western:3
232,389,16,128,0.7463,0.6914,Action:21; Adventure:28; Animation:11; Children:18; Comedy:66; Crime:22; Drama:54; Fantasy:18; Horror:7; IMAX:8; Musical:5; Mystery:12; Romance:33; Sci-Fi:22; Thriller:30; War:3
232,531,16,126,0.7262,0.6032,Action:35; Adventure:52; Animation:27; Children:24; Comedy:65; Crime:17; Drama:40; Fantasy:30; Horror:3; IMAX:21; Musical:6; Mystery:12; Romance:22; Sci-Fi:17; Thriller:20; War:6
451,574,16,124,0.647,0.7298,Action:54; Adventure:39; Animation:10; Children:7; Comedy:29; Crime:33; Documentary:6; Drama:55; Fantasy:14; Horror:5; IMAX:9; Mystery:15; Romance:13; Sci-Fi:30; Thriller:46; War:9
255,568,16,124,0.689,0.5081,Action:43; Adventure:33; Animation:3; Children:3; Comedy:38; Crime:18; Drama:72; Fantasy:14; Horror:7; Musical:4; Mystery:3; Romance:25; Sci-Fi:19; Thriller:23; War:16; Western:4
493,560,16,124,0.7401,1.0645,Action:54; Adventure:54; Animation:12; Children:17; Comedy:48; Crime:21; Drama:34; Fantasy:26; Horror:12; Musical:7; Mystery:12; Romance:19; Sci-Fi:33; Thriller:37; War:3; Western:4
213,218,16,123,0.7201,0.6341,Action:36; Adventure:42; Animation:24; Children:29; Comedy:42; Crime:15; Drama:53; Fantasy:27; Horror:7; IMAX:5; Musical:14; Mystery:8; Romance:19; Sci-Fi:24; Thriller:26; War:5
137,232,16,123,0.7459,0.5854,Action:32; Adventure:36; Animation:22; Children:25; Comedy:72; Crime:19; Drama:42; Fantasy:21; Horror:6; IMAX:6; Musical:4; Mystery:10; Romance:19; Sci-Fi:14; Thriller:20; War:5
113,383,16,120,0.6501,0.475,Action:41; Adventure:45; Animation:8; Children:13; Comedy:66; Crime:11; Drama:36; Fantasy:24; IMAX:3; Musical:4; Mystery:9; Romance:30; Sci-Fi:28; Thriller:25; War:3; Western:3
88,389,16,120,0.664,0.5417,Action:22; Adventure:22; Animation:7; Children:13; Comedy:66; Crime:23; Drama:52; Fantasy:11; Horror:7; IMAX:5; Musical:9; Mystery:9; Romance:43; Sci-Fi:14; Thriller:21; War:4
160,296,16,119,0.7186,0.8992,Action:53; Adventure:33; Animation:5; Children:7; Comedy:30; Crime:25; Drama:57; Fantasy:11; Film-Noir:4; Musical:9; Mystery:10; Romance:31; Sci-Fi:16; Thriller:41; War:14; Western:3
128,389,16,119,0.7236,0.7269,Action:27; Adventure:23; Animation:13; Children:17; Comedy:53; Crime:31; Drama:53; Fantasy:10; Horror:8; IMAX:5; Musical:5; Mystery:14; Romance:23; Sci-Fi:18; Thriller:39; War:5
383,561,16,118,0.7299,0.8093,Action:52; Adventure:42; Animation:7; Children:13; Comedy:56; Crime:16; Drama:30; Fantasy:21; Horror:8; Musical:5; Mystery:7; Romance:21; Sci-Fi:33; Thriller:31; War:4; Western:3
71,461,16,114,0.7491,0.7763,Action:46; Adventure:23; Animation:5; Children:9; Comedy:36; Crime:29; Drama:41; Fantasy:15; Film-Noir:4; Horror:17; Musical:3; Mystery:19; Romance:21; Sci-Fi:24; Thriller:56; War:3
250,628,16,111,0.7416,0.6351,Action:42; Adventure:37; Animation:12; Children:12; Comedy:41; Crime:22; Drama:40; Fantasy:19; Horror:7; Musical:7; Mystery:9; Romance:19; Sci-Fi:27; Thriller:29; War:8; Western:3
88,348,16,110,0.6955,0.8909,Action:48; Adventure:34; Animation:5; Children:6; Comedy:34; Crime:34; Drama:46; Fantasy:13; Horror:6; IMAX:7; Musical:4; Mystery:15; Romance:14; Sci-Fi:24; Thriller:40; War:8
88,574,16,108,0.714,0.9537,Action:46; Adventure:32; Animation:4; Children:3; Comedy:20; Crime:33; Documentary:3; Drama:53; Fantasy:8; Horror:3; IMAX:8; Mystery:15; Romance:13; Sci-Fi:25; Thriller:41; War:9
560,628,16,104,0.6132,0.5721,Action:44; Adventure:41; Animation:10; Children:12; Comedy:36; Crime:21; Drama:31; Fantasy:20; Horror:8; Musical:5; Mystery:10; Romance:11; Sci-Fi:31; Thriller:31; War:4; Western:3
250,383,16,103,0.743,0.5631,Action:40; Adventure:44; Animation:12; Children:17; Comedy:50; Crime:11; Drama:25; Fantasy:30; Horror:4; IMAX:4; Musical:9; Mystery:7; Romance:20; Sci-Fi:29; Thriller:23; War:4
387,599,16,101,0.675,0.6188,Action:68; Adventure:36; Animation:4; Children:4; Comedy:24; Crime:24; Drama:25; Fantasy:11; Horror:8; IMAX:10; Musical:3; Mystery:14; Romance:5; Sci-Fi:45; Thriller:45; War:5
109,506,16,100,0.7203,1.14,Action:38; Adventure:27; Animation:5; Children:9; Comedy:31; Crime:25; Drama:42; Fantasy:6; Horror:3; Musical:3; Mystery:11; Romance:20; Sci-Fi:15; Thriller:37; War:7; Western:3
87,560,16,96,0.7264,0.9219,Action:50; Adventure:39; Animation:4; Children:5; Comedy:31; Crime:20; Drama:33; Fantasy:15; Horror:9; IMAX:3; Musical:3; Mystery:9; Romance:19; Sci-Fi:24; Thriller:38; War:8
160,383,16,95,0.7131,0.9053,Action:44; Adventure:35; Animation:6; Children:11; Comedy:27; Crime:14; Drama:31; Fantasy:15; Horror:8; Musical:9; Mystery:8; Romance:18; Sci-Fi:26; Thriller:31; War:3; Western:3
137,560,16,91,0.6471,0.7857,Action:21; Adventure:29; Animation:13; Children:14; Comedy:56; Crime:15; Drama:28; Fantasy:17; Horror:4; Musical:4; Mystery:5; Romance:16; Sci-Fi:5; Thriller:18; War:4; Western:3
220,656,16,88,0.623,0.5398,Action:34; Adventure:25; Animation:7; Children:12; Comedy:41; Crime:18; Drama:26; Fantasy:12; Horror:4; Musical:7; Mystery:4; Romance:23; Sci-Fi:12; Thriller:28; War:3; Western:5
383,628,16,87,0.5852,0.4713,Action:31; Adventure:36; Animation:12; Children:13; Comedy:35; Crime:10; Drama:25; Fantasy:19; Horror:3; IMAX:3; Musical:6; Mystery:8; Romance:16; Sci-Fi:23; Thriller:20; War:3
383,659,16,85,0.7266,0.5765,Action:30; Adventure:28; Animation:3; Children:8; Comedy:34; Crime:12; Drama:32; Fantasy:19; Horror:4; IMAX:6; Musical:5; Mystery:6; Romance:17; Sci-Fi:19; Thriller:25; War:3
164,633,16,84,0.7024,0.619,Action:39; Adventure:33; Animation:4; Children:5; Comedy:23; Crime:15; Drama:31; Fantasy:8; Horror:4; IMAX:3; Musical:3; Mystery:7; Romance:16; Sci-Fi:20; Thriller:24; War:6
29,656,16,81,0.7132,0.4321,Action:37; Adventure:26; Animation:6; Children:11; Comedy:35; Crime:14; Drama:21; Fantasy:9; Horror:3; Musical:6; Mystery:5; Romance:19; Sci-Fi:15; Thriller:32; War:3; Western:5
88,366,16,77,0.7244,0.6299,Action:23; Adventure:26; Animation:5; Children:6; Comedy:35; Crime:11; Drama:32; Fantasy:11; Horror:5; Musical:4; Mystery:7; Romance:19; Sci-Fi:20; Thriller:21; War:4; Western:3
220,366,16,76,0.7307,0.5395,Action:25; Adventure:29; Animation:6; Children:7; Comedy:33; Crime:10; Drama:30; Fantasy:12; Horror:5; Musical:4; Mystery:5; Romance:21; Sci-Fi:18; Thriller:22; War:4; Western:3
383,650,16,76,0.7409,1.4671,Action:24; Adventure:25; Animation:11; Children:19; Comedy:39; Crime:6; Drama:21; Fantasy:22; Horror:5; IMAX:3; Musical:11; Mystery:5; Romance:20; Sci-Fi:16; Thriller:12; War:3
218,628,16,73,0.6918,0.5548,Action:29; Adventure:31; Animation:11; Children:12; Comedy:24; Crime:7; Drama:32; Fantasy:19; Horror:5; IMAX:3; Musical:4; Mystery:3; Romance:10; Sci-Fi:19; Thriller:15; War:4
389,405,16,72,0.6122,0.5556,Action:15; Adventure:20; Animation:6; Children:9; Comedy:25; Crime:19; Drama:39; Fantasy:8; Horror:6; IMAX:6; Musical:3; Mystery:9; Romance:20; Sci-Fi:13; Thriller:22; War:6
88,656,16,71,0.7461,0.7042,Action:32; Adventure:22; Animation:4; Children:7; Comedy:33; Crime:14; Drama:17; Fantasy:9; Horror:3; Musical:4; Mystery:4; Romance:16; Sci-Fi:13; Thriller:27; War:3; Western:4
137,218,16,70,0.7169,0.6071,Action:16; Adventure:25; Animation:18; Children:18; Comedy:28; Crime:7; Drama:39; Fantasy:12; IMAX:4; Musical:3; Mystery:5; Romance:14; Sci-Fi:8; Thriller:11; War:3; Western:3
218,650,16,70,0.7392,0.8429,Action:16; Adventure:21; Animation:22; Children:33; Comedy:32; Crime:5; Drama:23; Fantasy:16; Horror:6; IMAX:3; Musical:17; Mystery:5; Romance:12; Sci-Fi:14; Thriller:10; War:4
387,389,16,63,0.7489,0.6508,Action:15; Adventure:18; Animation:10; Children:14; Comedy:32; Crime:16; Drama:26; Fantasy:10; Horror:3; IMAX:4; Musical:6; Mystery:8; Romance:11; Sci-Fi:13; Thriller:16; War:3
402,656,16,61,0.7352,0.6967,Action:35; Adventure:20; Animation:4; Children:5; Comedy:22; Crime:15; Drama:16; Fantasy:6; Horror:3; Musical:4; Mystery:3; Romance:13; Sci-Fi:9; Thriller:26; War:3; Western:4
228,656,16,58,0.7161,0.7155,Action:29; Adventure:21; Animation:3; Children:6; Comedy:23; Crime:14; Drama:13; Fantasy:6; Horror:3; Musical:3; Mystery:3; Romance:8; Sci-Fi:12; Thriller:25; War:3; Western:3
88,371,16,53,0.6927,0.9151,Action:16; Adventure:9; Animation:3; Children:4; Comedy:25; Crime:11; Drama:23; Fantasy:4; IMAX:3; Musical:3; Mystery:4; Romance:17; Sci-Fi:5; Thriller:19; War:4; Western:4
348,389,16,51,0.6752,0.9216,Action:14; Adventure:12; Animation:5; Children:6; Comedy:20; Crime:19; Drama:25; Fantasy:6; Horror:4; IMAX:4; Musical:3; Mystery:8; Romance:8; Sci-Fi:8; Thriller:22; War:5
88,568,15,185,0.6839,0.8108,Action:64; Adventure:46; Children:6; Comedy:78; Crime:34; Drama:83; Fantasy:26; Horror:6; Musical:6; Mystery:9; Romance:45; Sci-Fi:27; Thriller:42; War:13; Western:4
383,451,15,171,0.7006,0.5292,Action:64; Adventure:75; Animation:19; Children:21; Comedy:81; Crime:17; Drama:43; Fantasy:37; Horror:13; IMAX:8; Musical:8; Mystery:12; Romance:29; Sci-Fi:45; Thriller:39
296,451,15,170,0.6754,0.5441,Action:103; Adventure:74; Animation:7; Children:10; Comedy:52; Crime:38; Drama:46; Fantasy:20; Film-Noir:3; Mystery:10; Romance:17; Sci-Fi:43; Thriller:63; War:12; Western:5
158,232,15,147,0.7007,0.5612,Action:92; Adventure:50; Animation:10; Children:14; Comedy:28; Crime:33; Drama:49; Fantasy:18; Horror:7; IMAX:13; Mystery:18; Romance:16; Sci-Fi:44; Thriller:65; War:11
451,480,15,145,0.6644,0.4966,Action:36; Adventure:42; Animation:9; Children:8; Comedy:75; Crime:25; Drama:60; Fantasy:23; IMAX:3; Mystery:7; Romance:26; Sci-Fi:24; Thriller:30; War:5; Western:4
250,560,15,141,0.7083,0.9645,Action:58; Adventure:62; Animation:15; Children:24; Comedy:59; Crime:25; Drama:34; Fantasy:41; Horror:10; Musical:12; Mystery:12; Romance:27; Sci-Fi:34; Thriller:35; War:7
232,614,15,127,0.6345,0.563,Action:88; Adventure:50; Animation:6; Children:6; Comedy:29; Crime:28; Drama:29; Fantasy:19; Horror:12; IMAX:20; Mystery:14; Romance:7; Sci-Fi:45; Thriller:59; War:6
128,628,15,125,0.7235,0.628,Action:45; Adventure:38; Animation:9; Children:10; Comedy:47; Crime:27; Drama:46; Fantasy:20; Horror:8; Musical:3; Mystery:11; Romance:16; Sci-Fi:31; Thriller:35; War:8
128,296,15,123,0.692,0.5854,Action:73; Adventure:46; Animation:8; Children:9; Comedy:34; Crime:38; Drama:38; Fantasy:12; Musical:5; Mystery:8; Romance:11; Sci-Fi:26; Thriller:52; War:6; Western:3
113,530,15,120,0.7183,0.6542,Action:37; Adventure:34; Animation:7; Children:11; Comedy:62; Crime:25; Drama:51; Fantasy:13; Horror:5; Musical:4; Mystery:10; Romance:28; Sci-Fi:20; Thriller:32; War:3
